time_ms,cpu_usage,active_workers,completed
0,0,0,0
10,10,1,0
21,10,1,0
31,20,2,0
41,30,3,0
51,30,3,0
62,40,4,0
72,40,4,0
82,50,5,0
92,50,5,0
103,60,6,0
113,60,6,0
123,70,7,0
133,70,7,0
144,70,7,0
156,70,7,0
166,70,7,0
176,70,7,0
186,70,7,0
196,70,7,0
206,95,7,1
217,95,7,1
227,95,7,2
237,95,7,2
247,95,7,3
257,95,7,3
267,85,6,4
278,85,6,4
288,75,5,5
298,75,5,5
308,100,5,6
318,100,5,6
329,100,5,7
339,100,5,7
349,100,5,7
360,100,5,7
370,100,5,7
380,100,5,7
390,100,5,7
401,100,5,7
411,95,7,8
421,95,7,8
431,95,7,9
441,85,6,10
452,95,7,10
462,95,7,10
472,95,7,10
482,95,7,10
493,95,7,10
503,60,6,11
513,80,8,11
523,80,8,12
534,80,8,12
544,80,8,12
554,80,8,12
564,80,8,12
575,80,8,12
585,80,8,12
595,80,8,12
605,95,7,15
615,95,7,15
626,95,7,16
636,95,7,16
646,95,7,17
656,95,7,17
666,95,7,17
677,95,7,17
687,95,7,17
697,95,7,17
707,95,7,19
717,95,7,19
728,95,7,20
738,95,7,20
748,95,7,20
758,95,7,20
768,95,7,20
779,95,7,20
789,95,7,20
799,95,7,20
809,80,8,22
820,80,8,22
830,80,8,23
840,80,8,23
851,70,7,24
861,70,7,24
871,70,7,24
881,70,7,24
891,70,7,24
902,70,7,24
912,85,6,26
922,85,6,26
933,75,5,27
943,75,5,27
953,75,5,27
964,75,5,27
974,75,5,27
984,75,5,27
995,75,5,27
1007,90,4,29
1018,80,3,30
1029,70,2,31
1039,70,2,31
1049,70,2,31
1059,70,2,31
1070,70,2,31
1080,70,2,31
1090,70,2,31
1100,70,2,31
1110,100,5,32
1121,100,5,32
1131,100,5,32
1141,100,5,32
1151,100,5,32
1161,100,5,32
1172,100,5,32
1182,100,5,32
1192,100,5,32
1202,100,5,32
1212,95,7,33
1223,95,7,33
